data,ticker,comprado,close,ret
2026-09-11,ENEV3,1,27.36,-0.011561
2026-09-11,ENGI11,1,51.61,-0.00386
2026-09-11,EQTL3,1,39.65,-0.011222
2026-09-11,EZTC3,1,13.09,-0.003805
2026-09-11,FLRY3,1,21.06,0.004771
2026-09-11,GMAT3,1,4.88,0.010352
2026-09-11,GRND3,1,3.74,-0.007958
2026-09-11,HAPV3,0,6.73,-0.080601
2026-09-11,HYPE3,1,22.76,-0.003503
2026-09-11,IGTI11,1,26.07,-0.017339
2026-09-11,IRBR3,1,60.43,0.000331
2026-09-11,ITSA4,1,14.19,0.001411
2026-09-11,ITUB3,1,46.63,0.00539
2026-09-11,ITUB4,1,42.73,0.008973
2026-09-11,JHSF3,1,12.16,0.015025
2026-09-11,KLBN11,1,19.54,-0.001533
2026-09-11,MBRF3,1,17.09,0.008855
2026-09-11,MGLU3,1,5.76,-0.030303
2026-09-11,MOVI3,0,7.98,-0.014815
2026-09-11,MRVE3,1,5.74,0.003497
2026-09-11,MULT3,1,30.07,-0.01053
2026-09-11,ORVR3,0,17.4,-0.013046
2026-09-11,PETR4,1,49.0,-0.002443
2026-09-11,POMO4,0,4.5,-0.017467
2026-09-11,PSSA3,0,50.67,-0.012281
2026-09-11,QUAL3,0,1.52,0.020134
2026-09-11,RAIL3,1,14.83,-0.008027
2026-09-11,RAIZ4,0,0.28,0.0
2026-09-11,RAPT4,1,5.13,0.001953
2026-09-11,RDOR3,1,37.61,-0.011823
2026-09-11,RECV3,1,11.36,-0.029889
2026-09-11,RENT3,0,35.8,-0.027438
2026-09-11,ROXO34,1,12.45,-0.019685
2026-09-11,SBSP3,0,27.04,-0.009161
2026-09-11,SIMH3,1,7.59,-0.038023
2026-09-11,SLCE3,1,17.94,-0.026587
2026-09-11,SMAL11,1,110.83,-0.01309
2026-09-11,SMFT3,0,17.35,-0.024733
2026-09-11,SUZB3,1,47.81,-0.006029
2026-09-11,TAEE11,1,40.73,-0.013563
2026-09-11,TIMS3,0,19.37,-0.0087
2026-09-11,TOTS3,1,32.94,-0.001818
2026-09-11,USIM5,0,7.38,-0.035294
2026-09-11,VALE3,1,78.2,-0.000384
2026-09-11,VAMO3,1,3.27,-0.049419
2026-09-11,VBBR3,1,37.55,-0.018301
2026-09-11,VIVA3,1,22.33,-0.018462
2026-09-11,VIVT3,0,30.27,-0.006238
2026-09-11,WEGE3,1,51.49,-0.013034
2026-09-11,WIZC3,0,7.82,-0.029777
2026-09-11,XPBR31,1,101.5,0.00515
2026-09-11,YDUQ3,1,9.91,-0.017839
2026-09-14,ABEV3,1,15.87,0.016005
2026-09-14,ALOS3,1,28.44,-0.006636
2026-09-14,AURA33,1,147.2,0.002998
2026-09-14,AXIA3,1,55.07,0.004927
2026-09-14,AZZA3,0,15.77,-0.04017
2026-09-14,BBAS3,1,22.12,-0.016452
2026-09-14,BBDC3,1,16.17,-0.009191
2026-09-14,BBDC4,1,18.33,-0.013986
2026-09-14,BBSE3,1,39.77,0.006835
2026-09-14,BEEF3,1,4.08,-0.012107
2026-09-14,BOVA11,1,182.55,-0.007071
2026-09-14,BPAC11,1,60.48,-0.00559
2026-09-14,BRAP4,1,21.64,-0.039929
2026-09-14,BRAV3,0,17.75,-0.029524
2026-09-14,BRSR6,1,14.98,-0.005968
2026-09-14,CEAB3,0,9.35,0.0
2026-09-14,CMIN3,1,6.26,-0.068452
2026-09-14,COGN3,1,2.34,0.004292
2026-09-14,CPLE3,1,15.92,-0.002506
2026-09-14,CSAN3,0,3.61,-0.024324
2026-09-14,CSMG3,0,56.87,0.016443
2026-09-14,CSNA3,1,6.35,-0.046547
2026-09-14,CVCB3,1,1.61,0.0
2026-09-14,CXSE3,1,19.93,0.00555
